Calendar Date,Date Key,Weekday Desc,Calendar Month,Calendar Month Desc,Calendar Year,Fiscal Variant,Fiscal Variant Desc,Fiscal Year,Fiscal Month,Fiscal Week
13/09/2016,20160913,Tuesday,9,September,2016,Z1,Factory Calendar,2017,3,11
14/09/2016,20160914,Wednesday,9,September,2016,Z1,Factory Calendar,2017,3,11
15/09/2016,20160915,Thursday,9,September,2016,Z1,Factory Calendar,2017,3,11
16/09/2016,20160916,Friday,9,September,2016,Z1,Factory Calendar,2017,3,11
17/09/2016,20160917,Saturday,9,September,2016,Z1,Factory Calendar,2017,3,11
18/09/2016,20160918,Sunday,9,September,2016,Z1,Factory Calendar,2017,3,12
19/09/2016,20160919,Monday,9,September,2016,Z1,Factory Calendar,2017,3,12
20/09/2016,20160920,Tuesday,9,September,2016,Z1,Factory Calendar,2017,3,12
21/09/2016,20160921,Wednesday,9,September,2016,Z1,Factory Calendar,2017,3,12
22/09/2016,20160922,Thursday,9,September,2016,Z1,Factory Calendar,2017,3,12
23/09/2016,20160923,Friday,9,September,2016,Z1,Factory Calendar,2017,3,12
24/09/2016,20160924,Saturday,9,September,2016,Z1,Factory Calendar,2017,3,12
25/09/2016,20160925,Sunday,9,September,2016,Z1,Factory Calendar,2017,3,13
26/09/2016,20160926,Monday,9,September,2016,Z1,Factory Calendar,2017,3,13
27/09/2016,20160927,Tuesday,9,September,2016,Z1,Factory Calendar,2017,3,13
28/09/2016,20160928,Wednesday,9,September,2016,Z1,Factory Calendar,2017,3,13
29/09/2016,20160929,Thursday,9,September,2016,Z1,Factory Calendar,2017,3,13
30/09/2016,20160930,Friday,9,September,2016,Z1,Factory Calendar,2017,3,13
1/10/2016,20161001,Saturday,10,October,2016,Z1,Factory Calendar,2017,3,13
2/10/2016,20161002,Sunday,10,October,2016,Z1,Factory Calendar,2017,4,14
3/10/2016,20161003,Monday,10,October,2016,Z1,Factory Calendar,2017,4,14
4/10/2016,20161004,Tuesday,10,October,2016,Z1,Factory Calendar,2017,4,14
5/10/2016,20161005,Wednesday,10,October,2016,Z1,Factory Calendar,2017,4,14
6/10/2016,20161006,Thursday,10,October,2016,Z1,Factory Calendar,2017,4,14
7/10/2016,20161007,Friday,10,October,2016,Z1,Factory Calendar,2017,4,14
8/10/2016,20161008,Saturday,10,October,2016,Z1,Factory Calendar,2017,4,14
9/10/2016,20161009,Sunday,10,October,2016,Z1,Factory Calendar,2017,4,15
10/10/2016,20161010,Monday,10,October,2016,Z1,Factory Calendar,2017,4,15
11/10/2016,20161011,Tuesday,10,October,2016,Z1,Factory Calendar,2017,4,15
12/10/2016,20161012,Wednesday,10,October,2016,Z1,Factory Calendar,2017,4,15
13/10/2016,20161013,Thursday,10,October,2016,Z1,Factory Calendar,2017,4,15
14/10/2016,20161014,Friday,10,October,2016,Z1,Factory Calendar,2017,4,15
15/10/2016,20161015,Saturday,10,October,2016,Z1,Factory Calendar,2017,4,15
16/10/2016,20161016,Sunday,10,October,2016,Z1,Factory Calendar,2017,4,16
17/10/2016,20161017,Monday,10,October,2016,Z1,Factory Calendar,2017,4,16
